id,key,value,type
137239685,highway,turning_circle,regular
137239691,highway,turning_circle,regular
137239720,highway,turning_circle,regular
137239734,highway,turning_circle,regular
137240084,source,Bing,regular
137240084,highway,turning_circle,regular
137240096,highway,turning_circle,regular
137240141,highway,turning_circle,regular
137240250,highway,turning_circle,regular
137240267,highway,turning_circle,regular
137240338,noexit,yes,regular
137240432,source,Bing,regular
137240432,highway,turning_circle,regular
137240569,source,Bing,regular
137240569,highway,turning_circle,regular
137240614,highway,turning_circle,regular
137240632,source,Bing,regular
137240632,highway,turning_circle,regular
137240639,highway,turning_circle,regular
137240683,highway,turning_circle,regular
137240687,highway,turning_circle,regular
137240736,source,Bing,regular
137240736,highway,turning_circle,regular
137240832,highway,turning_circle,regular
137240903,source,Bing,regular
137240903,highway,turning_circle,regular
137241325,source,Bing,regular
137241325,highway,turning_circle,regular
137241338,highway,turning_circle,regular
137241358,highway,turning_circle,regular
137241397,highway,turning_circle,regular
137241711,highway,turning_circle,regular
137241899,source,Bing,regular
137241899,highway,turning_circle,regular
137242082,highway,turning_circle,regular
137242524,highway,turning_circle,regular
137242754,source,Bing,regular
137242754,highway,turning_circle,regular
137242899,highway,turning_circle,regular
137242941,highway,turning_circle,regular
137243480,source,Yahoo,regular
137243480,highway,turning_circle,regular
137243493,highway,turning_circle,regular
137243666,highway,turning_circle,regular
137243759,highway,turning_circle,regular
137243793,source,Bing,regular
137243793,highway,turning_circle,regular
137243847,highway,turning_circle,regular
137243853,highway,turning_circle,regular
137243973,source,Bing,regular
137243973,highway,turning_circle,regular
137243983,highway,turning_circle,regular
137243983,source,bing,regular
137244041,highway,turning_circle,regular
137244057,highway,turning_circle,regular
137244145,highway,turning_circle,regular
137244224,highway,turning_circle,regular
137244263,highway,turning_circle,regular
137244430,highway,turning_circle,regular
137244436,barrier,gate,regular
137244458,highway,turning_circle,regular
137244493,highway,turning_circle,regular
137244521,highway,turning_circle,regular
137244639,highway,turning_circle,regular
137244669,source,Bing,regular
137244669,highway,turning_circle,regular
137244785,highway,turning_circle,regular
137244958,highway,turning_circle,regular
137245205,highway,turning_circle,regular
137245219,highway,turning_circle,regular
137245540,barrier,gate,regular
137245591,highway,turning_circle,regular
137245615,highway,turning_circle,regular
137245635,highway,turning_circle,regular
137245689,railway,level_crossing,regular
137245689,bell,no,crossing
137245689,light,no,crossing
